PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
2781,Pontiac,Female,Single,45,Sedan - Liability,Sport,"less than 20,000",13,400,1,more than 4,7 years,36 to 40,External,no change,Liability
2782,Pontiac,Male,Single,41,Sedan - Liability,Sport,"20,000 to 29,000",11,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
2783,Honda,Male,Married,26,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
2784,Chevrolet,Male,Married,37,Sedan - Collision,Sedan,"40,000 to 59,000",1,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
2785,VW,Male,Married,34,Sedan - All Perils,Sedan,"40,000 to 59,000",7,400,1,1,7 years,31 to 35,External,no change,All Perils
2786,Toyota,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,2,2 to 4,6 years,31 to 35,External,no change,Collision
2787,Toyota,Male,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,1,7 years,36 to 40,External,no change,Liability
2788,Pontiac,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,none,6 years,31 to 35,External,no change,Collision
2789,Saturn,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,4,1,5 years,26 to 30,External,no change,All Perils
2790,Toyota,Male,Married,38,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,4,1,7 years,36 to 40,External,no change,All Perils
2791,Honda,Male,Single,32,Sport - Collision,Sport,"more than 69,000",16,400,4,none,6 years,31 to 35,External,no change,Collision
2792,Pontiac,Male,Married,49,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,2 to 4,7 years,41 to 50,External,no change,Collision
2793,Pontiac,Male,Married,21,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,4,1,4 years,26 to 30,External,no change,Collision
2794,Ford,Male,Single,34,Utility - All Perils,Utility,"more than 69,000",12,400,1,1,6 years,31 to 35,External,4 to 8 years,All Perils
2795,Pontiac,Male,Married,68,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,2 to 4,more than 7,over 65,External,no change,Liability
2796,Chevrolet,Male,Single,34,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,2,2 to 4,6 years,31 to 35,External,no change,All Perils
2797,Honda,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,2,none,7 years,31 to 35,External,no change,Collision
2798,Toyota,Male,Married,49,Sedan - Liability,Sport,"40,000 to 59,000",5,400,2,2 to 4,more than 7,41 to 50,Internal,no change,Liability
2799,Honda,Male,Married,29,Sedan - Liability,Sport,"20,000 to 29,000",6,400,2,more than 4,7 years,31 to 35,External,no change,Liability
2800,Pontiac,Male,Married,49,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,4,none,more than 7,41 to 50,External,no change,All Perils
2801,Pontiac,Male,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",8,400,1,more than 4,7 years,31 to 35,External,no change,Liability
2802,Mazda,Male,Married,29,Sport - Collision,Sport,"more than 69,000",8,400,1,1,6 years,31 to 35,External,no change,Collision
2803,Chevrolet,Male,Married,79,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,1,more than 7,over 65,External,no change,Collision
2804,Honda,Male,Married,59,Sedan - Liability,Sport,"20,000 to 29,000",14,400,3,2 to 4,more than 7,51 to 65,External,no change,Liability
2805,Pontiac,Male,Single,45,Sedan - Liability,Sport,"30,000 to 39,000",15,400,2,more than 4,more than 7,36 to 40,External,no change,Liability
2806,Ford,Male,Married,44,Sedan - All Perils,Sedan,"20,000 to 29,000",15,500,1,none,7 years,36 to 40,External,2 to 3 years,All Perils
2807,Chevrolet,Female,Single,31,Sedan - Liability,Sport,"20,000 to 29,000",16,400,1,none,6 years,31 to 35,External,no change,Liability
2808,Pontiac,Male,Married,35,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
2809,Accura,Male,Married,55,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
2810,Accura,Male,Single,43,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
2811,Chevrolet,Female,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,1,none,7 years,31 to 35,External,no change,Collision
2812,Honda,Male,Married,55,Sedan - All Perils,Sedan,"less than 20,000",11,400,1,2 to 4,more than 7,41 to 50,External,no change,All Perils
2813,Toyota,Female,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",2,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
2814,Chevrolet,Male,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,2 to 4,more than 7,41 to 50,External,no change,Collision
2815,Mazda,Female,Married,29,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,2 to 4,5 years,31 to 35,External,4 to 8 years,Liability
2816,Honda,Female,Single,28,Sport - Collision,Sport,"more than 69,000",16,400,2,none,5 years,31 to 35,External,no change,Collision
2817,Accura,Male,Married,54,Sedan - Liability,Sport,"more than 69,000",11,400,1,1,7 years,41 to 50,External,no change,Liability
2818,Chevrolet,Female,Married,37,Sedan - All Perils,Sedan,"more than 69,000",11,400,2,1,6 years,36 to 40,External,no change,All Perils
2819,Pontiac,Male,Married,42,Sedan - Liability,Sport,"20,000 to 29,000",5,400,1,2 to 4,7 years,36 to 40,External,no change,Liability
2820,Pontiac,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",10,400,3,none,6 years,31 to 35,External,no change,Liability
2821,Chevrolet,Male,Married,37,Sedan - Collision,Sedan,"more than 69,000",12,400,2,none,more than 7,36 to 40,External,no change,Collision
2822,Pontiac,Female,Married,30,Sedan - All Perils,Sedan,"20,000 to 29,000",11,700,4,2 to 4,7 years,31 to 35,External,1 year,All Perils
2823,Toyota,Male,Married,44,Sedan - Liability,Sport,"more than 69,000",12,400,4,more than 4,6 years,36 to 40,External,no change,Liability
2824,Toyota,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",7,400,4,more than 4,7 years,36 to 40,External,no change,Liability
2825,Pontiac,Male,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,1,1,6 years,31 to 35,External,no change,Collision
2826,Pontiac,Male,Single,33,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,3,1,7 years,31 to 35,External,no change,All Perils
2827,Saab,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",16,400,4,2 to 4,7 years,31 to 35,External,no change,Liability
2828,VW,Female,Single,23,Sedan - Liability,Sport,"less than 20,000",6,400,1,2 to 4,5 years,26 to 30,External,no change,Liability
2829,Chevrolet,Male,Married,59,Sedan - Liability,Sport,"20,000 to 29,000",14,400,2,2 to 4,more than 7,51 to 65,External,no change,Liability
2830,Chevrolet,Male,Married,30,Sedan - Liability,Sport,"more than 69,000",6,400,3,2 to 4,7 years,31 to 35,External,no change,Liability
2831,Pontiac,Male,Single,36,Sedan - Liability,Sport,"30,000 to 39,000",16,400,3,more than 4,7 years,36 to 40,External,no change,Liability
2832,Toyota,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,1,6 years,31 to 35,External,no change,Collision
2833,Accura,Male,Married,50,Sedan - Collision,Sedan,"30,000 to 39,000",8,400,2,none,more than 7,41 to 50,External,no change,Collision
2834,Honda,Male,Married,48,Sedan - Liability,Sport,"20,000 to 29,000",12,400,3,2 to 4,7 years,41 to 50,External,no change,Liability
2835,Honda,Female,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,1,5 years,31 to 35,External,no change,Collision
2836,Mazda,Male,Married,54,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,2,none,6 years,41 to 50,External,4 to 8 years,Collision
2837,VW,Male,Married,56,Sedan - Liability,Sport,"40,000 to 59,000",9,400,3,2 to 4,more than 7,51 to 65,External,no change,Liability
2838,Saab,Female,Married,80,Sedan - Liability,Sport,"30,000 to 39,000",5,400,1,2 to 4,6 years,over 65,External,no change,Liability
2839,Toyota,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,4,1,7 years,31 to 35,External,no change,All Perils
2840,Pontiac,Male,Married,56,Sedan - Liability,Sport,"30,000 to 39,000",16,400,2,2 to 4,more than 7,51 to 65,External,no change,Liability
2841,Toyota,Male,Married,43,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,2,1,7 years,36 to 40,External,no change,All Perils
2842,Chevrolet,Male,Single,37,Sedan - Liability,Sport,"30,000 to 39,000",5,400,3,1,7 years,36 to 40,External,no change,Liability
2843,Pontiac,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,none,7 years,36 to 40,External,no change,Collision
2844,Chevrolet,Male,Single,45,Sedan - Liability,Sport,"40,000 to 59,000",12,400,4,more than 4,7 years,36 to 40,External,no change,Liability
2845,Toyota,Male,Married,29,Sedan - Liability,Sport,"20,000 to 29,000",12,400,2,1,7 years,31 to 35,External,no change,Liability
2846,Chevrolet,Male,Single,30,Sedan - Collision,Sedan,"more than 69,000",10,400,3,2 to 4,5 years,31 to 35,External,no change,Collision
2847,Mazda,Male,Single,22,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,4,2 to 4,5 years,26 to 30,External,no change,Collision
2848,Toyota,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,none,7 years,31 to 35,External,no change,Collision
2849,VW,Male,Married,54,Sedan - Liability,Sport,"40,000 to 59,000",15,400,3,2 to 4,7 years,41 to 50,External,no change,Liability
2850,Pontiac,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,3,2 to 4,5 years,31 to 35,External,no change,All Perils
2851,Accura,Male,Married,42,Sedan - All Perils,Sedan,"more than 69,000",2,400,2,none,more than 7,36 to 40,External,no change,All Perils
2852,Honda,Male,Married,51,Sport - Collision,Sport,"more than 69,000",8,400,1,none,7 years,41 to 50,External,no change,Collision
2853,Ford,Male,Married,51,Sedan - Liability,Sport,"more than 69,000",4,700,3,2 to 4,more than 7,41 to 50,External,no change,Liability
2854,Toyota,Male,Married,39,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,2,1,7 years,36 to 40,External,no change,All Perils
2855,Mazda,Female,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,2 to 4,7 years,36 to 40,External,no change,Liability
2856,Toyota,Male,Married,45,Sedan - Liability,Sport,"20,000 to 29,000",16,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
2857,Pontiac,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",12,500,2,none,7 years,36 to 40,External,2 to 3 years,All Perils
2858,Pontiac,Male,Single,46,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,4,none,7 years,41 to 50,External,no change,All Perils
2859,Pontiac,Female,Married,36,Sedan - Collision,Sedan,"more than 69,000",4,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
2860,Toyota,Female,Married,49,Sedan - Liability,Sport,"30,000 to 39,000",3,400,2,2 to 4,more than 7,41 to 50,External,no change,Liability
2861,Chevrolet,Male,Single,35,Sedan - All Perils,Sedan,"more than 69,000",4,400,4,2 to 4,5 years,31 to 35,External,no change,All Perils
2862,Pontiac,Male,Married,37,Sedan - All Perils,Sedan,"less than 20,000",13,400,2,1,7 years,36 to 40,External,no change,All Perils
2863,Pontiac,Male,Single,36,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,2,none,7 years,36 to 40,External,no change,Collision
2864,Pontiac,Male,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",8,400,2,2 to 4,5 years,31 to 35,External,no change,Collision
2865,Pontiac,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,3,2 to 4,6 years,31 to 35,External,no change,Collision
2866,Honda,Male,Single,18,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,4,none,4 years,21 to 25,External,no change,Collision
2867,Toyota,Male,Married,31,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,1,5 years,31 to 35,External,no change,All Perils
2868,Pontiac,Male,Married,33,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,3,1,7 years,31 to 35,External,no change,All Perils
2869,Pontiac,Male,Single,32,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,4,none,7 years,31 to 35,External,no change,Collision
2870,Honda,Male,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
2871,Pontiac,Male,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,1,none,more than 7,36 to 40,External,no change,All Perils
2872,Pontiac,Male,Married,53,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,1,none,more than 7,41 to 50,External,no change,All Perils
2873,Pontiac,Male,Married,30,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,none,7 years,31 to 35,Internal,no change,Liability
2874,Honda,Male,Single,17,Sport - All Perils,Sport,"more than 69,000",14,400,1,none,new,16 to 17,External,no change,All Perils
2875,Mazda,Male,Married,39,Sedan - All Perils,Sedan,"less than 20,000",5,400,1,1,more than 7,36 to 40,External,no change,All Perils
2876,Honda,Female,Single,41,Sedan - Collision,Sedan,"less than 20,000",1,400,4,none,7 years,36 to 40,External,no change,Collision
2877,Ford,Male,Married,48,Sedan - Collision,Sedan,"60,000 to 69,000",4,400,4,2 to 4,more than 7,41 to 50,External,no change,Collision
2878,Honda,Male,Married,30,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,4,none,5 years,31 to 35,External,4 to 8 years,All Perils
2879,Pontiac,Female,Married,33,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,1,1,6 years,31 to 35,External,no change,All Perils
2880,Toyota,Male,Single,41,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,3,2 to 4,7 years,36 to 40,External,no change,All Perils
2881,Nisson,Male,Married,49,Sedan - All Perils,Sedan,"30,000 to 39,000",15,400,2,1,more than 7,41 to 50,External,no change,All Perils
2882,Chevrolet,Male,Married,55,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
2883,Ford,Male,Single,51,Sedan - Liability,Sport,"more than 69,000",5,400,4,more than 4,6 years,41 to 50,External,no change,Liability
2884,Toyota,Male,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,none,6 years,31 to 35,External,no change,Collision
2885,Pontiac,Male,Married,38,Utility - All Perils,Utility,"40,000 to 59,000",16,400,1,1,7 years,36 to 40,External,no change,All Perils
2886,Pontiac,Female,Single,28,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,1,2 to 4,7 years,31 to 35,External,no change,All Perils
2887,Toyota,Female,Married,52,Sedan - Liability,Sport,"20,000 to 29,000",14,400,1,more than 4,7 years,41 to 50,External,no change,Liability
2888,Mazda,Male,Married,28,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
2889,Mazda,Male,Single,55,Sedan - Liability,Sport,"30,000 to 39,000",9,400,3,2 to 4,more than 7,41 to 50,External,no change,Liability
2890,Pontiac,Male,Single,28,Sedan - All Perils,Sedan,"30,000 to 39,000",7,400,4,1,6 years,31 to 35,External,no change,All Perils
2891,Honda,Male,Married,34,Sedan - Liability,Sport,"20,000 to 29,000",12,400,4,2 to 4,7 years,31 to 35,External,no change,Liability
2892,Toyota,Male,Married,64,Sedan - Liability,Sport,"20,000 to 29,000",7,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
2893,Chevrolet,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",9,400,3,more than 4,7 years,36 to 40,External,no change,Liability
2894,Honda,Female,Single,32,Sport - Collision,Sport,"more than 69,000",11,400,3,none,6 years,31 to 35,External,no change,Collision
2895,Mazda,Male,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,3,none,6 years,31 to 35,External,no change,Collision
2896,Mazda,Male,Single,28,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,4,1,7 years,31 to 35,External,no change,All Perils
2897,Chevrolet,Female,Single,28,Sedan - Liability,Sport,"20,000 to 29,000",13,400,3,2 to 4,7 years,31 to 35,External,no change,Liability
2898,Mazda,Male,Single,18,Sedan - All Perils,Sedan,"more than 69,000",8,400,1,more than 4,3 years,21 to 25,External,no change,All Perils
2899,Toyota,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,4,none,7 years,36 to 40,External,4 to 8 years,All Perils
2900,Chevrolet,Male,Married,40,Sedan - Liability,Sport,"30,000 to 39,000",9,400,2,more than 4,more than 7,36 to 40,External,no change,Liability
2901,Chevrolet,Male,Married,37,Sedan - Liability,Sport,"20,000 to 29,000",5,400,4,none,more than 7,36 to 40,External,no change,Liability
2902,Accura,Male,Married,52,Utility - All Perils,Utility,"more than 69,000",8,400,3,none,more than 7,41 to 50,External,no change,All Perils
2903,Pontiac,Male,Married,38,Sedan - Liability,Sport,"20,000 to 29,000",2,400,2,1,7 years,36 to 40,External,no change,Liability
2904,Accura,Male,Married,74,Utility - All Perils,Utility,"more than 69,000",4,400,2,none,7 years,over 65,External,no change,All Perils
2905,Pontiac,Female,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",16,400,3,more than 4,6 years,31 to 35,External,no change,Liability
2906,VW,Male,Married,45,Sedan - Liability,Sport,"20,000 to 29,000",6,400,3,2 to 4,7 years,36 to 40,External,no change,Liability
2907,Honda,Female,Married,29,Sedan - Liability,Sport,"30,000 to 39,000",11,400,1,1,3 years,31 to 35,External,no change,Liability
2908,Honda,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",14,500,3,1,7 years,36 to 40,External,2 to 3 years,Collision
2909,Pontiac,Female,Married,30,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,1,none,6 years,31 to 35,External,no change,All Perils
2910,Toyota,Female,Single,28,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,1,2 to 4,7 years,31 to 35,External,no change,All Perils
2911,Pontiac,Male,Married,65,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,3,none,more than 7,51 to 65,External,no change,All Perils
2912,Pontiac,Male,Single,42,Sedan - Liability,Sport,"30,000 to 39,000",3,400,2,1,7 years,36 to 40,External,no change,Liability
2913,Pontiac,Female,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,2,1,6 years,31 to 35,External,1 year,Collision
2914,Toyota,Female,Single,46,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,3,none,7 years,41 to 50,External,no change,All Perils
2915,Honda,Male,Married,43,Sedan - All Perils,Sedan,"20,000 to 29,000",16,700,2,1,7 years,36 to 40,External,no change,All Perils
2916,Pontiac,Male,Married,40,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,1,2 to 4,6 years,36 to 40,External,no change,Collision
2917,Mazda,Male,Married,43,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,1,7 years,36 to 40,External,no change,Collision
2918,Toyota,Male,Married,37,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,3,1,5 years,36 to 40,External,no change,All Perils
2919,Chevrolet,Male,Single,34,Sedan - Liability,Sport,"30,000 to 39,000",14,400,1,2 to 4,5 years,31 to 35,External,no change,Liability
2920,Pontiac,Male,Married,35,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,2 to 4,6 years,31 to 35,External,4 to 8 years,Liability
